site_name,target_date,lat,lon,fires_7d_count,fires_30d_count,fire_max_brightness_7d,fire_avg_brightness_7d,fire_max_frp_7d,fire_avg_frp_7d,fires_persistent_days,days_since_last_fire,temp_mean,temp_max,humidity_mean,humidity_min,wind_max,rain_total,dry_days,latitude,longitude,month,season,label,label_meta_detections,label_meta_max_brightness
San Francisco,2024-07-29 00:00:00+00:00,37.7749,-122.4194,0,0,0.0,0.0,0.0,0.0,0,999,16.185714285714287,22.5,77.28571428571429,51,34.4,0.4,7,37.7749,-122.4194,7,2,0,0,0.0
Hamburg,2024-01-08 00:00:00+00:00,53.5511,9.9937,0,0,0.0,0.0,0.0,0.0,0,999,2.771428571428572,9.6,86.71428571428571,76,33.1,56.8,2,53.5511,9.9937,1,0,0,0,0.0
Los Angeles,2024-10-21 00:00:00+00:00,34.0522,-118.2437,0,0,0.0,0.0,0.0,0.0,0,999,18.957142857142856,29.7,59.857142857142854,8,20.8,1.0,6,34.0522,-118.2437,10,3,0,0,0.0
Mexico City,2025-03-10 00:00:00+00:00,19.4326,-99.1332,1,1,338.8,338.8,37.5,37.5,1,2,20.557142857142857,29.9,32.142857142857146,8,19.2,0.30000000000000004,7,19.4326,-99.1332,3,1,1,4,341.5
Brisbane,2025-04-28 00:00:00+00:00,-27.4698,153.0251,0,0,0.0,0.0,0.0,0.0,0,999,20.08571428571429,27.4,82.85714285714286,39,16.8,67.0,2,-27.4698,153.0251,4,1,0,0,0.0
San Diego,2024-03-11 00:00:00+00:00,32.7157,-117.1611,0,0,0.0,0.0,0.0,0.0,0,999,13.185714285714285,19.2,80.71428571428571,60,23.9,21.200000000000003,5,32.7157,-117.1611,3,1,0,0,0.0
Jakarta,2024-06-10 00:00:00+00:00,-6.2088,106.8456,0,0,0.0,0.0,0.0,0.0,0,999,27.428571428571427,32.9,82.57142857142857,53,11.5,25.9,2,-6.2088,106.8456,6,2,0,0,0.0
Tokyo,2025-07-14 00:00:00+00:00,35.6762,139.6503,0,0,0.0,0.0,0.0,0.0,0,999,27.64285714285714,37.2,72.0,35,16.7,23.500000000000004,5,35.6762,139.6503,7,2,0,0,0.0
Lima,2025-04-14 00:00:00+00:00,-12.0464,-77.0428,0,0,0.0,0.0,0.0,0.0,0,999,21.014285714285712,23.9,81.42857142857143,67,14.6,0.0,7,-12.0464,-77.0428,4,1,0,0,0.0
Melbourne,2024-09-09 00:00:00+00:00,-37.8136,144.9631,0,0,0.0,0.0,0.0,0.0,0,999,13.72857142857143,23.9,63.57142857142857,37,46.2,20.4,4,-37.8136,144.9631,9,3,0,0,0.0
