site,latitude,longitude,month,season,temp_mean,temp_max,humidity_mean,humidity_min,wind_max,rain_total,dry_days,seasonal_pattern,days_since_last,active_fires_7d,active_fires_3d,fire_max_brightness,fire_avg_brightness,persistent_fires,earthquakes_30d,earthquakes_7d,earthquake_max_mag,earthquake_avg_mag,earthquake_5plus,seismic_trend,event_occurred
Denver,39.7392,-104.9903,9,3,10.883333333333333,16.84,25.083333333333332,12,3.02,0.0,24,0.00034083162917518747,999,4,0,342.77,331.9525,0,1,0,2.7,2.7,0,0.0,0
Denver,39.7392,-104.9903,8,2,10.883333333333333,16.84,25.083333333333332,12,3.02,0.0,24,0.0026130424903431037,999,4,0,342.77,331.9525,0,1,0,2.7,2.7,0,0.0,0
Denver,39.7392,-104.9903,7,2,10.883333333333333,16.84,25.083333333333332,12,3.02,0.0,24,0.0026130424903431037,999,4,0,342.77,331.9525,0,1,0,2.7,2.7,0,0.0,0
Houston,29.7604,-95.3698,12,0,22.013749999999998,26.27,81.54166666666667,56,4.28,0.0,24,0.00034083162917518747,999,24,2,333.7,312.5754166666666,0,0,0,0.0,0.0,0,0.0,0
Houston,29.7604,-95.3698,11,3,22.013749999999998,26.27,81.54166666666667,56,4.28,0.0,24,0.0,999,24,2,333.7,312.5754166666666,0,0,0,0.0,0.0,0,0.0,0
Houston,29.7604,-95.3698,10,3,22.013749999999998,26.27,81.54166666666667,56,4.28,0.0,24,0.0,999,24,2,333.7,312.5754166666666,0,0,0,0.0,0.0,0,0.0,0
Houston,29.7604,-95.3698,9,3,22.013749999999998,26.27,81.54166666666667,56,4.28,0.0,24,0.0,999,24,2,333.7,312.5754166666666,0,0,0,0.0,0.0,0,0.0,0
Houston,29.7604,-95.3698,8,2,22.013749999999998,26.27,81.54166666666667,56,4.28,0.0,24,0.0004544421722335833,999,24,2,333.7,312.5754166666666,0,0,0,0.0,0.0,0,0.0,0
Houston,29.7604,-95.3698,7,2,22.013749999999998,26.27,81.54166666666667,56,4.28,0.0,24,0.0004544421722335833,999,24,2,333.7,312.5754166666666,0,0,0,0.0,0.0,0,0.0,0
New Orleans,29.9511,-90.0715,12,0,19.56833333333333,24.32,81.125,57,4.06,0.0,24,0.00034083162917518747,999,123,5,376.59,315.45512195121955,0,0,0,0.0,0.0,0,0.0,0
New Orleans,29.9511,-90.0715,11,3,19.56833333333333,24.32,81.125,57,4.06,0.0,24,0.00022722108611679165,999,123,5,376.59,315.45512195121955,0,0,0,0.0,0.0,0,0.0,0
New Orleans,29.9511,-90.0715,10,3,19.56833333333333,24.32,81.125,57,4.06,0.0,24,0.00022722108611679165,999,123,5,376.59,315.45512195121955,0,0,0,0.0,0.0,0,0.0,0
New Orleans,29.9511,-90.0715,9,3,19.56833333333333,24.32,81.125,57,4.06,0.0,24,0.00022722108611679165,999,123,5,376.59,315.45512195121955,0,0,0,0.0,0.0,0,0.0,0
New Orleans,29.9511,-90.0715,8,2,19.56833333333333,24.32,81.125,57,4.06,0.0,24,0.00034083162917518747,999,123,5,376.59,315.45512195121955,0,0,0,0.0,0.0,0,0.0,0
New Orleans,29.9511,-90.0715,7,2,19.56833333333333,24.32,81.125,57,4.06,0.0,24,0.00034083162917518747,999,123,5,376.59,315.45512195121955,0,0,0,0.0,0.0,0,0.0,0
Miami,25.7617,-80.1918,12,0,23.848333333333333,24.97,61.333333333333336,53,9.85,1.87,16,0.00011361054305839582,999,45,11,398.66,330.23688888888887,0,0,0,0.0,0.0,0,0.0,0
