site,year,month,predicted,actual,risk_score,event_count,categories
Anchorage,2025,10,0,0,0.0,0,none
Anchorage,2025,11,0,0,0.0,0,none
Anchorage,2025,12,0,0,0.0,0,none
Honolulu,2025,6,0,0,0.0,0,none
Honolulu,2025,7,0,0,0.0,0,none
Honolulu,2025,8,0,0,0.0,0,none
Honolulu,2025,9,0,1,0.0,2,"severestorms, severestorms"
Honolulu,2025,10,0,0,0.0,0,none
Honolulu,2025,11,0,0,0.0,0,none
Honolulu,2025,12,0,0,0.0,0,none
Wellington,2025,6,0,1,0.0,1,floods
Wellington,2025,7,0,0,0.0,0,none
Wellington,2025,8,0,0,0.0,0,none
Wellington,2025,9,0,0,0.0,0,none
Wellington,2025,10,0,0,0.0,0,none
Wellington,2025,11,0,0,0.0,0,none
Wellington,2025,12,0,0,0.0,0,none
Auckland,2025,6,0,0,0.0,0,none
Auckland,2025,7,0,1,0.0,1,floods
Auckland,2025,8,0,0,0.0,0,none
Auckland,2025,9,0,0,0.0,0,none
Auckland,2025,10,0,1,0.0,1,floods
Auckland,2025,11,0,0,0.0,0,none
Auckland,2025,12,0,0,0.0,0,none
Port-au-Prince,2025,6,0,0,0.0,0,none
Port-au-Prince,2025,7,0,0,0.0,0,none
Port-au-Prince,2025,8,0,0,0.0,0,none
Port-au-Prince,2025,9,0,1,0.0,1,floods
Port-au-Prince,2025,10,0,1,0.0,1,floods
Port-au-Prince,2025,11,0,0,0.0,0,none
Port-au-Prince,2025,12,0,0,0.0,0,none
Managua,2025,6,0,0,0.0,0,none
Managua,2025,7,0,0,0.0,0,none
Managua,2025,8,0,0,0.0,0,none
Managua,2025,9,0,1,0.0,2,"floods, floods"
Managua,2025,10,0,0,0.0,0,none
Managua,2025,11,0,0,0.0,0,none
Managua,2025,12,0,0,0.0,0,none
